Name,Instrument,Orchestra,Joined,Education,Teachers
Karissa Shivone,cello,Pittsburgh Symphony,2016,Colburn School,"Ronald Leonard, Leslie Marckx, Steven Isserlis, Efe Baltacigil, Raymond Davis, Meeka Quan-diLorenzo, Johannes Moser, Desmond Hoebig, Richard Aaron, Arnold Steinhardt, Martin Beaver, Clive Greensmith, Peter Lloyd, Paul Coletti"
Karl Fenner,double bass,Atlanta Symphony Orchestra,2016,"Cleveland Institute of Music, Rice University, University of Colorado Boulder","Max Dimoff, Tim Pitts, Paul Ellison, Albert Laszlo, Ken Harper, Dennis Whittaker, Sandor Ostlund, Robert Stiles"
Karl Olsen,double bass,Louisville Orchestra,2001,"University Of Wisconsin – Stevens Point, Indiana University","David Dunn, Bruce Bransby, Gary Karr, Stuart Sankey, Stanley Ritchie"
Karl Vilcins,bassoon,Rochester Philharmonic Orchestra,2011,"Ohio State University, Manhattan School of Music","Christopher Weait, Frank Morelli"
Karla Fournier,clarinet,Arkansas Symphony,1990,"University of Houston, River Oaks School, Cole Music Conservatory, Conway Public Schools, University Of Arkansas At Little Rock, Ouachita Baptist University",
Katarzyna Bryla,viola,San Francisco Symphony,2022,,
Kate Arndt,violin,Colorado Symphony,2023,"Yale University, New England Conservatory of Music, East Carolina University","Ani Kavafian, Miriam Fried, Robert McDonald, Ida Kavafian, Colin Carr, Misha Amory, Hye-Jin Kim, Ara Gregorian"
Kate Munagian,double bass,Nashville Symphony,2014,,
Kate Wegener,oboe,Minnesota Orchestra,2023,The Juilliard School,"Nathan Hughes, Elaine Douvas, Linda Strommen, Scott Hostetler"
Katherine Audas,cello,Seattle Symphony,,Rice University,"Norman Fischer, Brinton Smith"
Katherine Bormann,violin,The Cleveland Orchestra,2011,"Rice University, The Juilliard School","Kathleen Winkler, Joel Smirnoff, Ronald Copes"
Katherine Greene,viola,New York Philharmonic,1990,The Juilliard School,William Lincer
Katherine Lee Morris,violin,Indianapolis Symphony Orchestra,2024,"Eastman School of Music, Indiana University","Alexander Kerr, Mikhail Kopelman, Grigory Kalinovsky"
Katherine Needleman,oboe,Baltimore Symphony Orchestra,2003,"Baltimore School For The Arts, Curtis Institute of Music",
Katherine Reynolds,viola,Arkansas Symphony,2000,"Suny At Stony Brook, St. Louis Conservatory, University Of Central Arkansas",
Katherine Siochi,harp,San Francisco Symphony,2022,"Conservatoire national supérieur de musique et de danse de Paris, Conservatoire national supérieur de musique et de danse de Paris","Pierre Amoyal, Pavel Vernikov, Dora Schwarzberg"
Katherine Ventura,harp,Kansas City Symphony,2022,"Temple University, Chicago College Of Performing Arts, Carnegie Mellon School of Music","Elizabeth Hainen, Gretchen Van Hoesen, Sarah Bullen"
Katherine Williamson,violin,Arkansas Symphony,2013,"Meadowmount School Of Music, Indiana University, Ithaca College Suzuki Institute","Mark Kaplan, Jorja Fleezanis, Alexander Kerr, Brenda Brenner, Christie Felsing, Tze-Ying Wu"
Katherine Woo,violin,Los Angeles Philharmonic,,"The Juilliard School, Columbia University (Columbia Juilliard Exchange Program)","Sylvia Rosenberg, Masao Kawasaki, Sheryl Staples"
Katherine Young Steele,oboe,Milwaukee Symphony,2012,"Eastman School of Music, Rice University, University Of Wisconsin Milwaukee, University of Tampa, St. Petersburg Conservatory, New World School Of The Arts","Richard Killmer, Robert Atherholt, Donna Conaty"
Kathleen Boyer,violin,Seattle Symphony,1985,,
Kathleen Collins,violin,The Cleveland Orchestra,1995,"Indiana University, Cleveland Institute of Music, Interlochen Arts Academy","Paul Biss, James Buswell, Bernhard Goldschmidt, Rosemary Maloscay"
Kathleen Nester,"piccolo, flute",New Jersey Symphony,,Manhattan School of Music,
Kathryn Eberle,violin,Utah Symphony,,"The Juilliard School, Colburn School, Blair School of Music, University of Southern California","Sylvia Rosenberg, Robert Lipsett, Cornelia Heard"
Kathryn Ladner,"piccolo, flute",Houston Symphony,2016,"Eastman School of Music, Rice University, Blair School of Music, W.O. Smith Music School","Bonita Boyd, Anne Harrow, Leone Buyse"
Kathryn Meany Wilson,oboe,National Symphony Orchestra,1997,"Oberlin Conservatory, Eastman School of Music",
Kathryn Nettleman,double bass,Minnesota Orchestra,2009,"The Juilliard School, Yale University, New World Symphony","Craig Thomas, Neil Courtney, Homer Mensch, Donald Palma"
Kathryn Picht Read,cello,The Philadelphia Orchestra,1979,"University Of Wisconsin, University of Illinois, Boston University","George Neikrug, mother"
Kathryn Sievers,viola,Boston Symphony Orchestra,2018,"Yale University, The Juilliard School, Cleveland Institute of Music","Robert Vernon, Heidi Castleman, Misha Amory, Erick Friedman"
Kathryn Woolley,violin,Cincinnati Symphony Orchestra,1995,"University Of Cincinnati College Conservatory Of Music (Ccm), Aspen Music Festival, Tanglewood",Kurt Sassmannshaus
Katie Kadarauch,violin,San Francisco Symphony,,"Hochschule für Musik Freiburg, Hochschule für Musik Köln","Anne-Sophie Mutter, Saschko Gawriloff, Dejan Bogdanovich"
Katie Klich,oboe,St. Louis Symphony Orchestra,2022,"Boston University, New England Conservatory of Music",
Katie Liu,viola,Seattle Symphony,,"Princeton University, Yale University, Colburn School","Ettore Causa, Paul Coletti, Teng Li"
Katinka Kleijn,cello,Chicago Symphony Orchestra,,,
Katja Linfield,cello,Minnesota Orchestra,1990,"Oberlin Conservatory, New England Conservatory of Music, Rutgers University Newark",
Kayla Burggraf,"piccolo, flute",Kansas City Symphony,2019,"Rice University, Manhattan School of Music","Robert Langevin, Leone Buyse, Jennifer Gunn, Stefán Höskuldsson, Stephanie Mortimore, Renée Siebert"
Kazato Inouye,violin,Kansas City Symphony,2014,University of Michigan,"Kimbo Ishii-Eto, Catherine Cho, David Halen, Yehonatan Berick"
Keeon Guzman,cello,Dallas Symphony Orchestra,2024,"Universität für Musik und Darstellende Kunst Mozarteum Salzburg, Indiana University","Enrico Bronzi, Eric Kim, Brandon Vamos"
Keiko Araki,violin,Oregon Symphony,2004,"Vancouver Academy of Music, Peabody Conservatory","Lawrie Hill, Gwen Thompson, Herbert Greenberg"
Keisuke Wakao,oboe,Boston Symphony Orchestra,1990,"Manhattan School of Music, New England Conservatory of Music, Longy School of Music","Joseph Robinson, Alfred Genovese, Ralph Gomberg"
Keith Buncke,bassoon,Chicago Symphony Orchestra,2015,"Curtis Institute of Music, DePaul University, Interlochen Arts Camp And Academy","Daniel Matsukawa, Eric Stomberg, Mark Eubanks"
Keith Carrick,percussion,Utah Symphony,2012,"Boston University, New England Conservatory of Music, Florida State University","Tim Genis, Will Hudgins"
Keith Wymer,double bass,Kansas City Symphony,2023,"University of North Texas College of Music, Indiana University","Jeff Bradetich, Bruce Bransby, Christopher Hanulik, Owen Lee, William Clay"
Kelly Shanafelt,viola,Colorado Symphony,1991,Curtis Institute of Music,
Kelsey Blumenthal,violin,Pittsburgh Symphony,2014,"Colburn School, New England Conservatory of Music","Robert Lipsett, Malcolm Lowe, Arnold Steinhardt, Catherine Cho, Bonnie Black"
Ken-David Masur,conductor,Milwaukee Symphony,2018,,
Kenn Wagner,violin,Atlanta Symphony Orchestra,1995,Indiana University,"Joseph Gingold, Vernon Summers, William Steck, Csaba Erdelyi, Alan Morrison"
Kenneth Finch,cello,Oregon Symphony,,,
Kenneth Freed,viola,Minnesota Orchestra,1998,"Henry Street Settlement Music School, Yale University, Yale University","Elizabeth Weickert, Louise Behrend, Syoko Aki Erle, Helen Dowling"
Kenneth Grant,clarinet,Rochester Philharmonic Orchestra,1987,"Eastman School of Music, Barker (N.Y.) Central Schools, Capital University (Ohio), Otterbein College (Ohio), Virginia Wesleyan University","Donald Mattea, James Pyne, D. Stanley Hasty, Frank Cohen, Theodore Johnson"
Kenneth Mirkin,viola,New York Philharmonic,1982,The Juilliard School,"Lillian Fuchs, William Lincer"
Kenneth Olsen,cello,Chicago Symphony Orchestra,2005,"Bard College Conservatory of Music, Cleveland Institute of Music, The Juilliard School","Martha Vivona, Luis Garcia Renart, Richard Aaron, Joel Krosnick"
Kent Brauninger,viola,Kansas City Symphony,,Indiana University,
Kent Tritle,organ,New York Philharmonic,1994,The Juilliard School,
Keoni Bolding,viola,Houston Symphony,,,
Kerri Ryan,viola,The Philadelphia Orchestra,2007,"Curtis Institute of Music, Cleveland Institute of Music","Karen Tuttle, Lee Snyder, Jascha Brodsky, Rafael Druian, Arnold Steinhardt"
Kerry McDermott,violin,New York Philharmonic,,"Yale University, Manhattan School of Music",Raphael Bronstein
Kevin Bate,cello,Nashville Symphony,2015,"University Of Wisconsin Madison, Hochschule für Musik Freiburg, DePauw University, Indiana University","János Starker, Adriana Contino, Eric Edberg, Uri Vardi"
Kevin Brown,double bass,Detroit Symphony Orchestra,2014,"Rice University, Michigan State University, Cleveland Institute of Music, Northwestern University, University of Southern California, Texas Christian University, Colburn School",Paul Ellison
Kevin Chen,violin,Atlanta Symphony Orchestra,2020,"The Juilliard School, Columbia College Chicago Music Department","Naoko Tanaka, David Chan"
Kevin Finamore,trumpet,Dallas Symphony Orchestra,2000,"The Juilliard School, University of North Carolina School of the Arts, Smu Meadows School Of The Arts","Ray Mase, Chris Gekker, Mark Gould"
Kevin Haseltine,french horn,Dallas Symphony Orchestra,2015,Northwestern University,"Gail Williams, Jon Boen"
Kevin Kozak,french horn,Alabama Symphony Orchestra,1981,Manhattan School of Music,
Kevin Kunkel,cello,Oregon Symphony,2016,Indiana University,Eric Kim
Kevin Lin,violin,Indianapolis Symphony Orchestra,,"Manhattan School of Music, Colburn School, Curtis Institute of Music","Patinka Kopeck, Robert Lipsett, Aaron Rosand"
Kevin Pearl,oboe,Milwaukee Symphony,2015,"Eastman School of Music, Rice University","Richard Killmer, Robert Atherholt, Robert Weiner, Elaine Douvas, Richard Woodhams, Nathan Hughes"
Kevin Ritenauer,"percussion, timpani",St. Louis Symphony Orchestra,2022,"Manhattan School of Music, Cleveland Institute of Music","Christopher Lamb, Duncan Patton, She-e Wu, Erik Charlston, Jeffrey Milarsky, Marc Damoulakis, Paul Yancich, Richard Weiner"
Kevin Shumway,cello,Utah Symphony,,"Northwestern University, Cleveland Institute of Music","Stephen Emerson, Hans Jensen, Stephen Ge"
Kevin Smith,violin,Baltimore Symphony Orchestra,2015,"University of North Texas College of Music, Cleveland Institute of Music","Julia Bushkova, Stephen Rose, Peter Salaff"
Kevin Watkins,percussion,Minnesota Orchestra,1999,"Oberlin Conservatory, Cleveland State University","Michael Rosen, Tom Freer"
Kim Nolen Gomez,violin,The Cleveland Orchestra,1990,"Peabody Conservatory, Cleveland Institute of Music","David Cerone, Josef Gingold, Daniel Heifetz, Virginia Schneider, David Updegraff, Donald Weilerstein, Mimi Zweig"
Kimberly Fisher,violin,The Philadelphia Orchestra,1992,,"Lawrence Fisher, Yumi Ninomiya Scott, Aaron Rosand, David Cerone, Jascha Brodsky"
Kimberly Gilman,french horn,Atlanta Symphony Orchestra,,"Peabody Conservatory, Manhattan School of Music, The Juilliard School",Jerome Ashby
Kimberly Hartquist,trombone,Rochester Philharmonic Orchestra,1996,Suny Fredonia,
Kimberly Kaloyanides Kennedy,violin,Detroit Symphony Orchestra,1998,"Brevard Music Center, Interlochen Arts Camp, Sarasota Music Festival, Aspen Music Festival, Harid Conservatory, University of Michigan","Sergiu Schwartz, Paul Kantor"
Kimberly Tichenor,violin,Louisville Orchestra,2000,"The Juilliard School, Indiana University","Young-Sook Han, Margaret Pardee, Josef Gingold, Yuval Yaron, Franco Gulli, Henryk Kowalski"
Kipras Mazeika,bassoon,Seattle Symphony,,Rice University,"Benjamin Kamins, Francine Peterson"
Kiril Laskarov,violin,Arkansas Symphony,1999,"State Academy Of Music (Sofia), Southern Illinois University Carbondale School of Music",Prof. Michael Barta
Kirk Ferguson,trombone,Milwaukee Symphony,,"The Juilliard School, Duquesne University, University of Washington, Gonzaga University, Whitworth University, University of Idaho","Joseph Alessi, Peter Sullivan, Murray Crewe, Per Brevig, Peter Ellefson, William Conable, Leo Potts"
Kirsten Johnson,viola,The Philadelphia Orchestra,2007,"Curtis Institute of Music, The Juilliard School","Michael Tree, Samuel Rhodes, Almita Vamos, Roland Vamos, James Dunham"
Kirsten Mitchell,violin,Nashville Symphony,1997,,
Kiyoko Takeuti,piano,The Philadelphia Orchestra,1988,Curtis Institute of Music,"Tanya Ury, Max Egger, Soulima Stravinsky, Rudolf Serkin, Mieczyslaw Horszowski, Misha Schneider, members of the Guarneri Quartet"
Ko-ichiro Yamamoto,trombone,Seattle Symphony,,"The Juilliard School, University of Washington","Tatsuo Yamamoto, Yoshiki Hakoyama, Joseph Alessi"
Kolio Plachkov,french horn,Colorado Symphony,2011,The Juilliard School,
Kozue Funakoshi,violin,Chicago Symphony Orchestra,2000,Tokyo College of Music,"Hideyuki Nimura, Joseph Genualdi, Sando Shia"
Kristen Bruya,double bass,Minnesota Orchestra,2015,"University of Michigan, University of Cincinnati College-Conservatory of Music, Rice University, New World Symphony",
Kristin Ahlstrom,violin,St. Louis Symphony Orchestra,2001,Indiana University,"Henryk Kowalski, Josef Gingold, Rostislav Dubinsky"
Kristin Ostling,cello,Baltimore Symphony Orchestra,1995,"Curtis Institute of Music, Mannes College of Music",
Kristin Velicer,violin,Kansas City Symphony,,"Oberlin Conservatory, Rice University","Kathleen Winkler, Raphael Fliegel"
Kristina Fulton,oboe,Kansas City Symphony,2011,"Oberlin Conservatory, New England Conservatory of Music, New World School Of The Arts","James Caldwell, John Ferrillo"
Kristina Yoder,violin,Pittsburgh Symphony,,"The Juilliard School, Northwestern University","Ronald Copes, Joel Smirnoff, Hyo Kang, Ben Sayevich, Kathy Haid, Almita Vamos"
Kristine Whitson,violin,Los Angeles Philharmonic,1990,"Menuhin Academy, Indiana University, Kneisel Hall, Danish National Academy of Music, New England Conservatory of Music","Betty Haag, Almita Vamos, Esther Glazer Hoffman, James Buswell, Zvi Zeitlin, Joseph Silverstein, Aaron Rosand, Alberto Lysy"
Krystof Pipal,french horn,Milwaukee Symphony,1999,"Prague Conservatory, Harid Conservatory","Gregory Miller, Alois Cocek, Robert Rouch, Bedrich Tylsar"
Kuan Cheng Lu,violin,New York Philharmonic,2004,"Oberlin Conservatory, Manhattan School of Music, Graduate Center, City University Of New York (Cuny), Danish National Academy of Music","Glenn Dicterow, Lisa Kim, Yoko Takebe, Roland Vamos, Almita Vamos, Daniel Phillips, Julia Bushkova, Chung Chih Lu"
Kum Mo Kim,violin,San Francisco Symphony,,,
Kun Dong,violin,Cincinnati Symphony Orchestra,2002,University of Cincinnati College-Conservatory of Music,
Kurt Johnson,violin,Houston Symphony,2000,"Oberlin Conservatory, Northwestern University",
Kurt Moede,french horn,Austin Symphony Orchestra,,"The Juilliard School, University of Texas","Ranier DeIntinis, Wayne Barrington"
Kurt Munstedt,violin,Rochester Philharmonic Orchestra,,,
Kyle Sanborn,double bass,Minnesota Orchestra,2022,"University of Oregon, Indiana University, St. Olaf College","Tyler Abbott, Kurt Muroki"
Kyle Zerna,timpani,New York Philharmonic,2010,Manhattan School of Music,"Duncan Patton, Christopher S. Lamb"
Kyung Ah Oh,violin,Milwaukee Symphony,2024,,
Kyung Ji Min,violin,New York Philharmonic,2019,"Yewon School, Curtis Institute of Music, The Juilliard School","Hyuna Kim, Aaron Rosand, Shmuel Ashkenasi, Sylvia Rosenberg, Ronald Copes"
Lachezar Kostov,cello,Baltimore Symphony Orchestra,,,"Bogomil Karakonov, Aldo Parisot, Norman Fischer, David Grigorian"
Lachlan McBane,viola,Atlanta Symphony Orchestra,1998,"Bowling Green State University, Cleveland Institute of Music","Robert Vernon, Peter Slowik, Nathan Gordon, Bernard Linden"
Lambert Orkis,piano,National Symphony Orchestra,,,
Lana Harris,viola,Austin Symphony Orchestra,1984,University of Texas,"Donald Wright, Karen Tuttle"
Landon Honolka,double bass,Arkansas Symphony,2024,"Oklahoma City University, The Juilliard School","Joseph Conyers, Harold Robinson, Rex Surany, Timothy Cobb, Frank Murray"
Landon Young,french horn,Pittsburgh Symphony,,"University of Michigan, Northwestern University","Adam Unsworth, Brian Kennedy, Gail Williams, Jonathan Boen, Adedeji Ogunfolu"
Lara Sipols,violin,Rochester Philharmonic Orchestra,2002,Mannes College of Music,"Mischa Mischakoff, Hortense Mischakoff, Sally Thomas, Anne Setzer, David Cerone, Paul Doktor, Karen Ritscher, Timothy Eddy, Lucie Robert, Yizhak Schotten, Nancy Wilson"
